Time taken by parallel program: 10179635 microseconds
) 1201717(0.210257)
1641489(0.22384) 1803762(0.356623)
1803762(0.356623) 1360775(0.503133)
1285321(0.0945411) 157860(0.240893)
157860(0.240893) 619740(0.367914)
1511410(0.329909) 619740(0.367914)
1511410(0.329909) 1306680(0.465329)
813720(0.829462) 25071(0.871423)
813720(0.829462) 366141(0.946894)
813720(0.829462) 801178(0.856335)
1597386(0.731371) 25071(0.871423)
1597386(0.731371) 801178(0.856335)
1272801(0.049773) 590051(0.16953)
1272801(0.049773) 1357683(0.195285)
1591804(0.314475) 843077(0.358576)
1600860(0.496974) 1073507(0.61201)
1600860(0.496974) 1741994(0.535496)
1600860(0.496974) 1831437(0.564577)
1073507(0.61201) 334701(0.680567)
1073507(0.61201) 1518193(0.739422)
1741994(0.535496) 334701(0.680567)
1831437(0.564577) 334701(0.680567)
334701(0.680567) 871015(0.836102)
1518193(0.739422) 871015(0.836102)
1518193(0.739422) 1445839(0.877514)
467657(0.326208) 49437(0.364071)
467657(0.326208) 944902(0.407106)
49437(0.364071) 1066631(0.52557)
944902(0.407106) 1043616(0.532988)
944902(0.407106) 1066631(0.52557)
1865805(0.665324) 1134391(0.814441)
1865805(0.665324) 1874829(0.757671)
1771663(0.414759) 396216(0.522978)
1771663(0.414759) 1196171(0.558705)
1211522(0.0276574) 529007(0.189809)
194047(0.449996) 1142286(0.593484)
1706302(0.434719) 1142286(0.593484)
1142286(0.593484) 1761692(0.734823)
1543672(0.810831) 610740(0.864019)
1543672(0.810831) 1831108(0.858709)
1761692(0.734823) 610740(0.864019)
1761692(0.734823) 1831108(0.858709)
430576(0.230457) 185068(0.352625)
894366(0.219245) 185068(0.352625)
1613254(0.770846) 1027711(0.904945)
591822(0.322012) 7619(0.343401)
591822(0.322012) 562302(0.40098)
591822(0.322012) 1143804(0.483284)
1930762(0.236026) 7619(0.343401)
440098(0.0998529) 903554(0.256325)
903554(0.256325) 501760(0.345131)
903554(0.256325) 819565(0.38109)
903554(0.256325) 1799348(0.398904)
719196(0.479932) 965354(0.585584)
1043178(0.247841) 197473(0.382303)
307000(0.761805) 984592(0.920554)
1803474(0.388867) 156271(0.500158)
535283(0.643724) 1811189(0.666747)
1931681(0.59523) 1811189(0.666747)
710428(0.0618267) 481554(0.213388)
710428(0.0618267) 1368330(0.201876)
481554(0.213388) 1003051(0.375227)
304571(0.606285) 1109841(0.669119)
